HA_CLASS,ha_class_desc,sheilagoogle_ha_class_desc,grow_area,rainfall_threshold_in,rainfall_threshold_class,notes
Bruns_1,Brunswick County,Tubbs Inlet,A01,1,depth_defined,NA
Bruns_2,Brunswick County,Shallot Inlet Intracoastal Waterway,A01,1,depth_defined,NA
Bruns_3,Brunswick County,Shallot River,A02,1.5,depth_defined,NA
Bruns_3A,Brunswick County,Shallot River,A02,1.5,depth_defined,NA
Bruns_4,Brunswick County,Shallot Inlet Intracoastal Waterway,A02,2.5,depth_defined,NA
Bruns_4A,Brunswick County,Shallot Inlet Intracoastal Waterway,A02,2,depth_defined,NA
Bruns_5,Brunswick County,Lockwoods Folloy River Intracoastal Waterway,A02,2,depth_defined,NA
Bruns_6,Brunswick County,Lockwoods Folloy River Intracoastal Waterway,A02,2,depth_defined,NA
Bruns_6,Brunswick County,Lockwoods Folloy River Intracoastal Waterway,A03,2,depth_defined,NA
Bruns_7,Brunswick County,Lockwoods Folly River,A03,1,depth_defined,NA
Bruns_8,Brunswick County,Bald Head Island,B02,4,emergency,rainfall depth from A. Haines email on 20200604
Bruns_8,Brunswick County,Bald Head Island,B03,4,emergency,rainfall depth from A. Haines email on 20200604
Bruns_8,Brunswick County,Bald Head Island,B04,4,emergency,rainfall depth from A. Haines email on 20200604
BS_1,Bouge Sound,Bogue Sound Deer Creek,D04,2.5,depth_defined,NA
BS_10,Bouge Sound,Bogue Sound Morehead City,E02,2.5,depth_defined,was labeled B_1 on original CMU map from NCDMF
BS_10,Bouge Sound,Bogue Sound Morehead City,E03,2.5,depth_defined,was labeled B_1 on original CMU map from NCDMF
BS_11,Bouge Sound,Bogue Sound Morehead City,E02,3,depth_defined,NA
BS_11,Bouge Sound,Bogue Sound Morehead City,E03,3,depth_defined,NA
BS_12,Bouge Sound,Bogue Sound Morehead City,E03,2.5,depth_defined,NA
BS_13,Bouge Sound,Bogue Sound Morehead City,E03,3,depth_defined,NA
BS_13B,Bouge Sound,Bogue Sound Morehead City,E03,3,depth_defined,NA
BS_14,Bouge Sound,Bogue Sound Morehead City,E03,2.5,depth_defined,NA
BS_15,Bouge Sound,Bogue Sound Morehead City,E03,3,depth_defined,NA
BS_2,Bouge Sound,Bogue Sound Deer Creek,D04,3,depth_defined,NA
BS_3,Bouge Sound,Bogue Sound,D04,2.5,depth_defined,NA
BS_4,Bouge Sound,Bogue Sound,D04,3,depth_defined,NA
BS_5,Bouge Sound,Bogue Sound,D04,2.5,depth_defined,NA
BS_6,Bouge Sound,Bogue Sound,D04,3,depth_defined,NA
BS_7,Bouge Sound,Broad Creek Bogue Sound,D04,2.5,depth_defined,NA
BS_7,Bouge Sound,Broad Creek Bogue Sound,E01,2.5,depth_defined,NA
BS_8,Bouge Sound,Broad Creek Bogue Sound,E01,2.5,depth_defined,NA
BS_8,Bouge Sound,Broad Creek Bogue Sound,E02,2.5,depth_defined,NA
BS_9,Bouge Sound,Bogue Sound,D04,3,depth_defined,NA
BS_9,Bouge Sound,Bogue Sound,E01,3,depth_defined,NA
BS_9,Bouge Sound,Bogue Sound,E02,3,depth_defined,NA
CL_1,Cedar Creek Cedar Island,Thorofare Bay Ceder Island,E09,4,emergency,rainfall depth from A. Haines email on 20200604
CL_1,Cedar Creek Cedar Island,Thorofare Bay Ceder Island,F04,4,emergency,rainfall depth from A. Haines email on 20200604
CL_2,Cedar Creek Cedar Island,Cedar Island,F04,4,emergency,rainfall depth from A. Haines email on 20200604
CL_3,Cedar Creek Cedar Island,Cedar Island Cedar Island Bay,F04,4,emergency,rainfall depth from A. Haines email on 20200604
CL_4A,Cedar Creek Cedar Island,Cedar Island Bay Core Bay,F04,4,emergency,rainfall depth from A. Haines email on 20200604
CL_4B,Cedar Creek Cedar Island,Cedar Island Bay Core Bay,F04,4,emergency,rainfall depth from A. Haines email on 20200604
Hyde_1,Hyde County,Middle Creek Pamilco Sound,G04,4,emergency,rainfall depth from A. Haines email on 20200604
Hyde_2,Hyde County,Juniper Bay West Bluff Bay Pamilco Sound,G03,4,emergency,rainfall depth from A. Haines email on 20200604
Hyde_2,Hyde County,Juniper Bay West Bluff Bay Pamilco Sound,G04,4,emergency,rainfall depth from A. Haines email on 20200604
Hyde_3,Hyde County,Swanquarter Bay Pamilco Sound,G03,4,emergency,rainfall depth from A. Haines email on 20200604
Hyde_4,Hyde County,Rose Bay Pamilco Sound,G03,4,emergency,rainfall depth from A. Haines email on 20200604
Hyde_5,Hyde County,Spencer Bay Germantown Bay Pamilco Sound,G03,4,emergency,rainfall depth from A. Haines email on 20200604
Hyde_6,Hyde County,Deep Bay Pamilco Sound,G03,4,emergency,rainfall depth from A. Haines email on 20200604
JB_1,Jarret Bay,Jarrett Bay,E08,2,depth_defined,NA
JB_1A,Jarret Bay,Wade Creek Jarrett Bay,E08,2,depth_defined,NA
JB_2,Jarret Bay,Core Sound Jarrett Bay,E08,2,depth_defined,NA
JB_3,Jarret Bay,Core Sound Jarrett Bay,E08,4,emergency,rainfall depth from A. Haines email on 20200604
JB_3,Jarret Bay,Core Sound Jarrett Bay,E09,4,emergency,rainfall depth from A. Haines email on 20200604
JB_4,Jarret Bay,Core Sound Jarrett Bay,E07,4,emergency,rainfall depth from A. Haines email on 20200604
JB_4,Jarret Bay,Core Sound Jarrett Bay,E08,4,emergency,rainfall depth from A. Haines email on 20200604
JB_4,Jarret Bay,Core Sound Jarrett Bay,E09,4,emergency,rainfall depth from A. Haines email on 20200604
LS_1,Long Shoal River,Englehard Pamilco Sound Long Shoal River,G04,4,emergency,rainfall depth from A. Haines email on 20200604
LS_1,Long Shoal River,Englehard Pamilco Sound Long Shoal River,G05,4,emergency,rainfall depth from A. Haines email on 20200604
MU_1,NA,Salliers Bay Browns Creek,C04,1.5,depth_defined,needs sheila_desc
MU_10,NA,Queens Creek Bear Island,D02,3,depth_defined,needs sheila_desc
MU_11,NA,Queens Creek,D02,1,depth_defined,needs sheila_desc
MU_12,NA,Queens Creek,D02,1.5,depth_defined,needs sheila_desc
MU_13,NA,Queens Creek White Oak River Bear Island,D02,3,depth_defined,needs sheila_desc
MU_13,NA,Queens Creek White Oak River Bear Island,D03,3,depth_defined,needs sheila_desc
MU_14,NA,Swansboro Area Hawkins Bay,D03,3,depth_defined,needs sheila_desc
MU_15,NA,White Oak River,D03,1.5,depth_defined,needs sheila_desc
MU_15A,NA,White Oak River,D03,1.5,depth_defined,needs sheila_desc
MU_16A,NA,White Oak River,D03,2,depth_defined,needs sheila_desc
MU_16B,NA,Deer Creek Bear Island Bogue Sound,D03,2,depth_defined,needs sheila_desc
MU_16B,NA,Deer Creek Bear Island Bogue Sound,D04,2,depth_defined,needs sheila_desc
