row_num,HA_CLASS,rainfall_thresh_in,datetime_uct,valid_period_hrs,pop12_perc,qpf_in,prob_close_perc
1,PAM_1,4,2020-07-01,24,47.52,0.13,0
2,Pungo_1,4,2020-07-01,24,46.99,0.13,0
3,Hyde_6,4,2020-07-01,24,42.38,0.07,0
4,OBX_3,4,2020-07-01,24,41.06,0.04,0
5,Bruns_1,1,2020-07-01,24,51,0.22,0.5
6,Bruns_2,1,2020-07-01,24,51,0.19,0.3
7,Bruns_7,1,2020-07-01,24,49,0.12,0
8,Bruns_8,4,2020-07-01,24,44.66,0.08,0
9,NHP_2,3,2020-07-01,24,51.85,0.27,0
10,PAM_6A,4,2020-07-01,24,49,0.12,0
11,NR_5,1.5,2020-07-01,24,40,0.04,0
12,NR_9,4,2020-07-01,24,38.11,0.03,0
13,JB_1A,2,2020-07-01,24,37,0.03,0
14,CL_3,4,2020-07-01,24,36.92,0.03,0
15,Bruns_3,1.5,2020-07-01,24,51,0.19,0
16,Bruns_4A,2,2020-07-01,24,50.33,0.17,0
17,NH_1,2,2020-07-01,24,52,0.33,0.1
18,NH_5,3,2020-07-01,24,55.69,0.39,0
19,NH_7,2,2020-07-01,24,52.04,0.31,0.1
20,PND_2,3,2020-07-01,24,52.85,0.26,0
21,PND_4,3,2020-07-01,24,55.41,0.31,0
22,PND_3,2.5,2020-07-01,24,56,0.31,0
23,NHP_1,2.5,2020-07-01,24,52.75,0.26,0
24,Onsl_6A,1.5,2020-07-01,24,52,0.08,0
25,MU_2,1.5,2020-07-01,24,50,0.08,0
26,MU_3,3,2020-07-01,24,49.33,0.07,0
27,MU_1,1.5,2020-07-01,24,50,0.08,0
28,MU_4,1.5,2020-07-01,24,51,0.08,0
29,MU_6B,3,2020-07-01,24,51,0.08,0
30,MU_6C,3,2020-07-01,24,50.33,0.08,0
31,MU_8,1.5,2020-07-01,24,50,0.07,0
32,MU_5B,1.5,2020-07-01,24,50.5,0.08,0
33,MU_9,3,2020-07-01,24,49.95,0.07,0
34,MU_6A,3,2020-07-01,24,49.67,0.07,0
35,MU_15A,1.5,2020-07-01,24,50.29,0.07,0
36,MU_16A,2,2020-07-01,24,50,0.07,0
37,MU_17,3,2020-07-01,24,49.29,0.06,0
38,BS_13B,3,2020-07-01,24,43.4,0.04,0
39,BS_6,3,2020-07-01,24,48.1,0.06,0
40,BS_7,2.5,2020-07-01,24,47.67,0.06,0
41,BS_15,3,2020-07-01,24,41.67,0.04,0
42,PAM_6B,4,2020-07-01,24,50.43,0.12,0
43,OBX_1,4,2020-07-01,24,45.74,0.07,0
44,PAM_2,4,2020-07-01,24,45.9,0.1,0
45,PAM_4,4,2020-07-01,24,44.87,0.08,0
46,PAM_5,4,2020-07-01,24,47.82,0.1,0
47,Hyde_3,4,2020-07-01,24,39.83,0.06,0
48,Neuse_2,4,2020-07-01,24,47.67,0.08,0
49,Neuse_3,4,2020-07-01,24,46.96,0.07,0
50,Neuse_6,4,2020-07-01,24,41.98,0.05,0
51,Neuse_4,4,2020-07-01,24,47.21,0.07,0
52,Neuse_1,4,2020-07-01,24,49.08,0.09,0
53,Neuse_8,4,2020-07-01,24,41.61,0.04,0
54,PAM_3,4,2020-07-01,24,45.39,0.1,0
55,Hyde_5,4,2020-07-01,24,43.71,0.09,0
56,Hyde_4,4,2020-07-01,24,43.15,0.08,0
57,Hyde_2,4,2020-07-01,24,37.44,0.04,0
58,Hyde_1,4,2020-07-01,24,35.29,0.04,0
59,LS_1,4,2020-07-01,24,39.06,0.05,0
60,OBX_2,4,2020-07-01,24,42.44,0.06,0
61,OBX_5A,4,2020-07-01,24,40.34,0.02,0
62,OBX_6,4,2020-07-01,24,40.15,0.02,0
63,OBX_5,4,2020-07-01,24,40.05,0.02,0
64,CL_4B,4,2020-07-01,24,35.43,0.03,0
65,CL_2,4,2020-07-01,24,36.52,0.03,0
66,OBX_7,4,2020-07-01,24,39.29,0.02,0
67,OBX_8,4,2020-07-01,24,35.57,0.02,0
68,OBX_10B,4,2020-07-01,24,35,0.02,0
69,CL_1,4,2020-07-01,24,37.08,0.03,0
70,NB_4,2,2020-07-01,24,37.32,0.03,0
71,NB_3,2,2020-07-01,24,36.43,0.03,0
72,NB_1,1.5,2020-07-01,24,38,0.03,0
73,NB_2,2,2020-07-01,24,36,0.03,0
74,NB_5,4,2020-07-01,24,36.63,0.03,0
75,JB_2,2,2020-07-01,24,36.73,0.03,0
76,JB_1,2,2020-07-01,24,37.3,0.03,0
77,NR_2,1.5,2020-07-01,24,39.11,0.03,0
78,NR_8A,3,2020-07-01,24,36.17,0.03,0
79,NR_10,4,2020-07-01,24,35.34,0.03,0
80,JB_4,4,2020-07-01,24,35.36,0.03,0
81,NR_3,1.5,2020-07-01,24,40,0.04,0
82,NR_4,1.5,2020-07-01,24,38,0.03,0
83,NR_7,1.5,2020-07-01,24,36,0.03,0
84,NPT_1,1,2020-07-01,24,45,0.05,0
85,NPT_2A,1,2020-07-01,24,45,0.05,0
86,NPT_2B,1,2020-07-01,24,45,0.05,0
87,NPT_4,1.5,2020-07-01,24,42,0.04,0
88,NPT_5,1.5,2020-07-01,24,41.94,0.04,0
89,Bruns_3A,1.5,2020-07-01,24,51,0.19,0
90,Bruns_4,2.5,2020-07-01,24,51,0.19,0
91,Bruns_5,2,2020-07-01,24,0,0,0
92,Bruns_6,2,2020-07-01,24,49.44,0.13,0
93,NH_2,2,2020-07-01,24,54.4,0.37,0.2
94,NH_4,2.5,2020-07-01,24,56,0.39,0.1
95,PND_1,2.5,2020-07-01,24,53,0.26,0
96,PND_5,2.5,2020-07-01,24,56.62,0.35,0
97,PND_6,3,2020-07-01,24,56.54,0.35,0
98,Onsl_7,1.5,2020-07-01,24,57,0.37,1
99,Onsl_6B,1.5,2020-07-01,24,52,0.1,0
100,Onsl_5,1.5,2020-07-01,24,50.39,0.08,0
101,Onsl_4,1.5,2020-07-01,24,49.48,0.07,0
102,Onsl_1,3,2020-07-01,24,52.27,0.11,0
103,MU_5A,1.5,2020-07-01,24,51,0.08,0
104,MU_7,1.5,2020-07-01,24,50,0.07,0
105,MU_10,3,2020-07-01,24,49.72,0.07,0
106,MU_11,1,2020-07-01,24,51.5,0.08,0
107,MU_12,1.5,2020-07-01,24,50.5,0.07,0
108,MU_14,3,2020-07-01,24,50,0.07,0
109,MU_15,1.5,2020-07-01,24,52,0.08,0
110,MU_16B,2,2020-07-01,24,49,0.06,0
111,BS_2,3,2020-07-01,24,48.33,0.06,0
112,BS_4,3,2020-07-01,24,48.25,0.06,0
113,BS_3,2.5,2020-07-01,24,49,0.06,0
114,BS_5,2.5,2020-07-01,24,49,0.06,0
115,BS_8,2.5,2020-07-01,24,48.5,0.07,0
116,BS_9,3,2020-07-01,24,46.65,0.06,0
117,BS_11,3,2020-07-01,24,45.6,0.05,0
118,BS_13,3,2020-07-01,24,43.52,0.04,0
119,BS_12,2.5,2020-07-01,24,43.33,0.04,0
120,MU_13,3,2020-07-01,24,49.63,0.07,0
121,Neuse_7,4,2020-07-01,24,40.04,0.04,0
122,JB_3,4,2020-07-01,24,36.24,0.03,0
123,PAM_6,4,2020-07-01,24,49.23,0.1,0
124,PAM_7,4,2020-07-01,24,42.69,0.07,0
125,NB_6,4,2020-07-01,24,35.93,0.03,0
126,NPT_3,1.5,2020-07-01,24,43.68,0.05,0
127,NH_6,2,2020-07-01,24,56,0.36,0.2
128,NR_1,1.5,2020-07-01,24,38.08,0.03,0
129,Sandy_1,4,2020-07-01,24,41.12,0.05,0
130,Onsl_2,3,2020-07-01,24,51.59,0.11,0
131,NH_3,3,2020-07-01,24,53.91,0.36,0
132,Onsl_3,3,2020-07-01,24,50.45,0.09,0
133,CL_4A,4,2020-07-01,24,35.25,0.03,0
134,OBX_4A,4,2020-07-01,24,43.44,0.06,0
135,OBX_4B,4,2020-07-01,24,41.02,0.04,0
136,Stump_1,4,2020-07-01,24,43.59,0.06,0
137,OBX_9B,4,2020-07-01,24,40.22,0.03,0
138,BS_14,2.5,2020-07-01,24,43,0.04,0
139,OBX_9A,4,2020-07-01,24,36.38,0.03,0
140,OBX_10A,4,2020-07-01,24,38.44,0.04,0
141,NR_8B,3,2020-07-01,24,36.23,0.03,0
142,NR_6,1.5,2020-07-01,24,37,0.03,0
143,BS_1,2.5,2020-07-01,24,49,0.06,0
144,BS_10,2.5,2020-07-01,24,45.5,0.05,0
145,PAM_1,4,2020-07-01,48,37.99,0.01,0
146,Pungo_1,4,2020-07-01,48,37.92,0.01,0
147,Hyde_6,4,2020-07-01,48,36.39,0.01,0
148,OBX_3,4,2020-07-01,48,21.61,0.01,0
149,Bruns_1,1,2020-07-01,48,38.8,0.08,0
150,Bruns_2,1,2020-07-01,48,40,0.08,0
151,Bruns_7,1,2020-07-01,48,39,0.09,0
152,Bruns_8,4,2020-07-01,48,34.81,0.07,0
153,NHP_2,3,2020-07-01,48,36.64,0.09,0
154,PAM_6A,4,2020-07-01,48,37.86,0.01,0
155,NR_5,1.5,2020-07-01,48,33,0.02,0
156,NR_9,4,2020-07-01,48,31.84,0.01,0
157,JB_1A,2,2020-07-01,48,32,0.01,0
158,CL_3,4,2020-07-01,48,32.49,0.01,0
159,Bruns_3,1.5,2020-07-01,48,40,0.08,0
160,Bruns_4A,2,2020-07-01,48,39.33,0.08,0
161,NH_1,2,2020-07-01,48,32,0.08,0
162,NH_5,3,2020-07-01,48,34.06,0.09,0
163,NH_7,2,2020-07-01,48,34.96,0.09,0
164,PND_2,3,2020-07-01,48,36.85,0.09,0
165,PND_4,3,2020-07-01,48,36.59,0.09,0
166,PND_3,2.5,2020-07-01,48,36.8,0.09,0
167,NHP_1,2.5,2020-07-01,48,38.25,0.09,0
168,Onsl_6A,1.5,2020-07-01,48,35,0.04,0
169,MU_2,1.5,2020-07-01,48,35,0.03,0
170,MU_3,3,2020-07-01,48,34.33,0.03,0
171,MU_1,1.5,2020-07-01,48,35,0.03,0
172,MU_4,1.5,2020-07-01,48,35,0.03,0
173,MU_6B,3,2020-07-01,48,35,0.03,0
174,MU_6C,3,2020-07-01,48,34.67,0.03,0
175,MU_8,1.5,2020-07-01,48,34,0.03,0
176,MU_5B,1.5,2020-07-01,48,34.58,0.03,0
177,MU_9,3,2020-07-01,48,33.98,0.03,0
178,MU_6A,3,2020-07-01,48,34,0.03,0
179,MU_15A,1.5,2020-07-01,48,35,0.04,0
180,MU_16A,2,2020-07-01,48,35,0.04,0
181,MU_17,3,2020-07-01,48,34.29,0.03,0
182,BS_13B,3,2020-07-01,48,33.2,0.02,0
183,BS_6,3,2020-07-01,48,34,0.05,0
184,BS_7,2.5,2020-07-01,48,34.33,0.04,0
185,BS_15,3,2020-07-01,48,33,0.02,0
186,PAM_6B,4,2020-07-01,48,38,0.01,0
187,OBX_1,4,2020-07-01,48,23.7,0.01,0
188,PAM_2,4,2020-07-01,48,37.1,0.01,0
189,PAM_4,4,2020-07-01,48,36.14,0.01,0
190,PAM_5,4,2020-07-01,48,36.92,0.01,0
191,Hyde_3,4,2020-07-01,48,34.79,0.01,0
192,Neuse_2,4,2020-07-01,48,36.78,0.02,0
193,Neuse_3,4,2020-07-01,48,36.48,0.01,0
194,Neuse_6,4,2020-07-01,48,34.04,0.01,0
195,Neuse_4,4,2020-07-01,48,36.21,0.01,0
196,Neuse_1,4,2020-07-01,48,37.26,0.01,0
197,Neuse_8,4,2020-07-01,48,34.28,0.01,0
198,PAM_3,4,2020-07-01,48,37.39,0.01,0
199,Hyde_5,4,2020-07-01,48,37,0.01,0
200,Hyde_4,4,2020-07-01,48,36.64,0.01,0
201,Hyde_2,4,2020-07-01,48,33.86,0.01,0
202,Hyde_1,4,2020-07-01,48,32.51,0.01,0
203,LS_1,4,2020-07-01,48,30.17,0.01,0
204,OBX_2,4,2020-07-01,48,21.87,0.01,0
205,OBX_5A,4,2020-07-01,48,23.42,0.01,0
206,OBX_6,4,2020-07-01,48,25.95,0.01,0
207,OBX_5,4,2020-07-01,48,21.69,0.01,0
208,CL_4B,4,2020-07-01,48,31.43,0.01,0
209,CL_2,4,2020-07-01,48,32.74,0.01,0
210,OBX_7,4,2020-07-01,48,27.54,0.01,0
211,OBX_8,4,2020-07-01,48,28.75,0.01,0
212,OBX_10B,4,2020-07-01,48,30.22,0.01,0
213,CL_1,4,2020-07-01,48,32.85,0.01,0
214,NB_4,2,2020-07-01,48,33,0.01,0
215,NB_3,2,2020-07-01,48,32.43,0.01,0
216,NB_1,1.5,2020-07-01,48,33,0.01,0
217,NB_2,2,2020-07-01,48,32,0.01,0
218,NB_5,4,2020-07-01,48,32.41,0.01,0
219,JB_2,2,2020-07-01,48,32,0.01,0
220,JB_1,2,2020-07-01,48,32.3,0.01,0
221,NR_2,1.5,2020-07-01,48,32.95,0.02,0
222,NR_8A,3,2020-07-01,48,31.17,0.01,0
223,NR_10,4,2020-07-01,48,30.84,0.01,0
224,JB_4,4,2020-07-01,48,31.69,0.01,0
225,NR_3,1.5,2020-07-01,48,33,0.02,0
226,NR_4,1.5,2020-07-01,48,32.8,0.01,0
227,NR_7,1.5,2020-07-01,48,32,0.01,0
228,NPT_1,1,2020-07-01,48,34,0.02,0
229,NPT_2A,1,2020-07-01,48,34,0.02,0
230,NPT_2B,1,2020-07-01,48,34,0.02,0
231,NPT_4,1.5,2020-07-01,48,33.5,0.02,0
232,NPT_5,1.5,2020-07-01,48,33.55,0.02,0
233,Bruns_3A,1.5,2020-07-01,48,40,0.08,0
234,Bruns_4,2.5,2020-07-01,48,40,0.08,0
235,Bruns_5,2,2020-07-01,48,0,0,0
236,Bruns_6,2,2020-07-01,48,39.22,0.09,0
237,NH_2,2,2020-07-01,48,32,0.08,0
238,NH_4,2.5,2020-07-01,48,35,0.09,0
239,PND_1,2.5,2020-07-01,48,37,0.09,0
240,PND_5,2.5,2020-07-01,48,36.62,0.09,0
241,PND_6,3,2020-07-01,48,36.54,0.09,0
242,Onsl_7,1.5,2020-07-01,48,38,0.09,0
243,Onsl_6B,1.5,2020-07-01,48,34.83,0.04,0
244,Onsl_5,1.5,2020-07-01,48,34.61,0.03,0
245,Onsl_4,1.5,2020-07-01,48,34.48,0.03,0
246,Onsl_1,3,2020-07-01,48,36.27,0.04,0
247,MU_5A,1.5,2020-07-01,48,35,0.03,0
248,MU_7,1.5,2020-07-01,48,34,0.03,0
249,MU_10,3,2020-07-01,48,34,0.03,0
250,MU_11,1,2020-07-01,48,35,0.04,0
251,MU_12,1.5,2020-07-01,48,34.5,0.04,0
252,MU_14,3,2020-07-01,48,35,0.04,0
253,MU_15,1.5,2020-07-01,48,35,0.04,0
254,MU_16B,2,2020-07-01,48,34,0.03,0
255,BS_2,3,2020-07-01,48,33.67,0.03,0
256,BS_4,3,2020-07-01,48,33.62,0.05,0
257,BS_3,2.5,2020-07-01,48,34,0.05,0
258,BS_5,2.5,2020-07-01,48,34,0.05,0
259,BS_8,2.5,2020-07-01,48,34.75,0.04,0
260,BS_9,3,2020-07-01,48,33.83,0.04,0
261,BS_11,3,2020-07-01,48,33.74,0.03,0
262,BS_13,3,2020-07-01,48,33.26,0.02,0
263,BS_12,2.5,2020-07-01,48,33.17,0.02,0
264,MU_13,3,2020-07-01,48,34.63,0.04,0
265,Neuse_7,4,2020-07-01,48,33.08,0.01,0
266,JB_3,4,2020-07-01,48,31.98,0.01,0
267,PAM_6,4,2020-07-01,48,37.25,0.01,0
268,PAM_7,4,2020-07-01,48,35.73,0.01,0
269,NB_6,4,2020-07-01,48,32.04,0.01,0
270,NPT_3,1.5,2020-07-01,48,33.78,0.02,0
271,NH_6,2,2020-07-01,48,35.82,0.09,0
272,NR_1,1.5,2020-07-01,48,32.46,0.02,0
273,Sandy_1,4,2020-07-01,48,27.94,0.01,0
274,Onsl_2,3,2020-07-01,48,36.22,0.04,0
275,NH_3,3,2020-07-01,48,32,0.08,0
276,Onsl_3,3,2020-07-01,48,34.9,0.03,0
277,CL_4A,4,2020-07-01,48,31.63,0.01,0
278,OBX_4A,4,2020-07-01,48,24,0.01,0
279,OBX_4B,4,2020-07-01,48,22.43,0.01,0
280,Stump_1,4,2020-07-01,48,27,0.01,0
281,OBX_9B,4,2020-07-01,48,26.72,0.01,0
282,BS_14,2.5,2020-07-01,48,33,0.02,0
283,OBX_9A,4,2020-07-01,48,30.42,0.01,0
284,OBX_10A,4,2020-07-01,48,33.12,0.01,0
285,NR_8B,3,2020-07-01,48,31.7,0.01,0
286,NR_6,1.5,2020-07-01,48,32,0.01,0
287,BS_1,2.5,2020-07-01,48,34,0.03,0
288,BS_10,2.5,2020-07-01,48,34,0.02,0
289,PAM_1,4,2020-07-01,72,19.5,0.01,0
290,Pungo_1,4,2020-07-01,72,19.38,0.01,0
291,Hyde_6,4,2020-07-01,72,17.99,0.01,0
292,OBX_3,4,2020-07-01,72,8,0,0
293,Bruns_1,1,2020-07-01,72,13,0,0
294,Bruns_2,1,2020-07-01,72,13,0,0
295,Bruns_7,1,2020-07-01,72,12,0,0
296,Bruns_8,4,2020-07-01,72,9.24,0,0
297,NHP_2,3,2020-07-01,72,10.85,0,0
298,PAM_6A,4,2020-07-01,72,19,0.01,0
299,NR_5,1.5,2020-07-01,72,18,0.01,0
300,NR_9,4,2020-07-01,72,18.42,0.01,0
301,JB_1A,2,2020-07-01,72,17,0.01,0
302,CL_3,4,2020-07-01,72,16,0.01,0
303,Bruns_3,1.5,2020-07-01,72,13,0,0
304,Bruns_4A,2,2020-07-01,72,13,0,0
305,NH_1,2,2020-07-01,72,9,0,0
306,NH_5,3,2020-07-01,72,9.69,0,0
307,NH_7,2,2020-07-01,72,10,0,0
308,PND_2,3,2020-07-01,72,10.92,0,0
309,PND_4,3,2020-07-01,72,10.77,0,0
310,PND_3,2.5,2020-07-01,72,11.2,0,0
311,NHP_1,2.5,2020-07-01,72,12.25,0,0
312,Onsl_6A,1.5,2020-07-01,72,25,0.01,0
313,MU_2,1.5,2020-07-01,72,24,0.01,0
314,MU_3,3,2020-07-01,72,24,0.01,0
315,MU_1,1.5,2020-07-01,72,24,0.01,0
316,MU_4,1.5,2020-07-01,72,24,0.01,0
317,MU_6B,3,2020-07-01,72,24,0.01,0
318,MU_6C,3,2020-07-01,72,24,0.01,0
319,MU_8,1.5,2020-07-01,72,23,0.01,0
320,MU_5B,1.5,2020-07-01,72,23.67,0.01,0
321,MU_9,3,2020-07-01,72,23,0.01,0
322,MU_6A,3,2020-07-01,72,23.33,0.01,0
323,MU_15A,1.5,2020-07-01,72,22,0.01,0
324,MU_16A,2,2020-07-01,72,22,0.01,0
325,MU_17,3,2020-07-01,72,22,0.01,0
326,BS_13B,3,2020-07-01,72,20,0.01,0
327,BS_6,3,2020-07-01,72,21,0.01,0
328,BS_7,2.5,2020-07-01,72,21,0.01,0
329,BS_15,3,2020-07-01,72,19.33,0.01,0
330,PAM_6B,4,2020-07-01,72,19.43,0.01,0
331,OBX_1,4,2020-07-01,72,9.22,0,0
332,PAM_2,4,2020-07-01,72,18.13,0.01,0
333,PAM_4,4,2020-07-01,72,18.04,0.01,0
334,PAM_5,4,2020-07-01,72,18.57,0.01,0
335,Hyde_3,4,2020-07-01,72,17.04,0.01,0
336,Neuse_2,4,2020-07-01,72,19,0.01,0
337,Neuse_3,4,2020-07-01,72,18.48,0.01,0
338,Neuse_6,4,2020-07-01,72,17.05,0.01,0
339,Neuse_4,4,2020-07-01,72,18.35,0.01,0
340,Neuse_1,4,2020-07-01,72,18.81,0.01,0
341,Neuse_8,4,2020-07-01,72,16.87,0.01,0
342,PAM_3,4,2020-07-01,72,18.41,0.01,0
343,Hyde_5,4,2020-07-01,72,18.03,0.01,0
344,Hyde_4,4,2020-07-01,72,18,0.01,0
345,Hyde_2,4,2020-07-01,72,16.38,0.01,0
346,Hyde_1,4,2020-07-01,72,15.97,0.01,0
347,LS_1,4,2020-07-01,72,14.25,0.01,0
348,OBX_2,4,2020-07-01,72,7.96,0,0
349,OBX_5A,4,2020-07-01,72,9.59,0,0
350,OBX_6,4,2020-07-01,72,11.88,0,0
351,OBX_5,4,2020-07-01,72,8.56,0,0
352,CL_4B,4,2020-07-01,72,15.43,0.01,0
353,CL_2,4,2020-07-01,72,16,0.01,0
354,OBX_7,4,2020-07-01,72,13.09,0,0
355,OBX_8,4,2020-07-01,72,14,0.01,0
356,OBX_10B,4,2020-07-01,72,14.8,0.01,0
357,CL_1,4,2020-07-01,72,16.03,0.01,0
358,NB_4,2,2020-07-01,72,17,0.01,0
359,NB_3,2,2020-07-01,72,17,0.01,0
360,NB_1,1.5,2020-07-01,72,17,0.01,0
361,NB_2,2,2020-07-01,72,17,0.01,0
362,NB_5,4,2020-07-01,72,16.6,0.01,0
363,JB_2,2,2020-07-01,72,17,0.01,0
364,JB_1,2,2020-07-01,72,17,0.01,0
365,NR_2,1.5,2020-07-01,72,18,0.01,0
366,NR_8A,3,2020-07-01,72,18,0.01,0
367,NR_10,4,2020-07-01,72,18,0.01,0
368,JB_4,4,2020-07-01,72,17.11,0.01,0
369,NR_3,1.5,2020-07-01,72,18,0.01,0
370,NR_4,1.5,2020-07-01,72,18,0.01,0
371,NR_7,1.5,2020-07-01,72,17,0.01,0
372,NPT_1,1,2020-07-01,72,20,0.01,0
373,NPT_2A,1,2020-07-01,72,20,0.01,0
374,NPT_2B,1,2020-07-01,72,20,0.01,0
375,NPT_4,1.5,2020-07-01,72,19,0.01,0
376,NPT_5,1.5,2020-07-01,72,19,0.01,0
377,Bruns_3A,1.5,2020-07-01,72,13,0,0
378,Bruns_4,2.5,2020-07-01,72,13,0,0
379,Bruns_5,2,2020-07-01,72,0,0,0
380,Bruns_6,2,2020-07-01,72,12.22,0,0
381,NH_2,2,2020-07-01,72,9,0,0
382,NH_4,2.5,2020-07-01,72,10,0,0
383,PND_1,2.5,2020-07-01,72,11,0,0
384,PND_5,2.5,2020-07-01,72,11.62,0,0
385,PND_6,3,2020-07-01,72,11.54,0,0
386,Onsl_7,1.5,2020-07-01,72,12,0,0
387,Onsl_6B,1.5,2020-07-01,72,23.92,0.01,0
388,Onsl_5,1.5,2020-07-01,72,24,0.01,0
389,Onsl_4,1.5,2020-07-01,72,24,0.01,0
390,Onsl_1,3,2020-07-01,72,24,0.01,0
391,MU_5A,1.5,2020-07-01,72,24,0.01,0
392,MU_7,1.5,2020-07-01,72,23,0.01,0
393,MU_10,3,2020-07-01,72,23,0.01,0
394,MU_11,1,2020-07-01,72,22.75,0.01,0
395,MU_12,1.5,2020-07-01,72,22.75,0.01,0
396,MU_14,3,2020-07-01,72,22,0.01,0
397,MU_15,1.5,2020-07-01,72,22,0.01,0
398,MU_16B,2,2020-07-01,72,22,0.01,0
399,BS_2,3,2020-07-01,72,22,0.01,0
400,BS_4,3,2020-07-01,72,21.38,0.01,0
401,BS_3,2.5,2020-07-01,72,21,0.01,0
402,BS_5,2.5,2020-07-01,72,21,0.01,0
403,BS_8,2.5,2020-07-01,72,20.75,0.01,0
404,BS_9,3,2020-07-01,72,20.93,0.01,0
405,BS_11,3,2020-07-01,72,20.24,0.01,0
406,BS_13,3,2020-07-01,72,20,0.01,0
407,BS_12,2.5,2020-07-01,72,20,0.01,0
408,MU_13,3,2020-07-01,72,22.37,0.01,0
409,Neuse_7,4,2020-07-01,72,16.99,0.01,0
410,JB_3,4,2020-07-01,72,17.02,0.01,0
411,PAM_6,4,2020-07-01,72,19,0.01,0
412,PAM_7,4,2020-07-01,72,17.42,0.01,0
413,NB_6,4,2020-07-01,72,16.27,0.01,0
414,NPT_3,1.5,2020-07-01,72,19.56,0.01,0
415,NH_6,2,2020-07-01,72,10.82,0,0
416,NR_1,1.5,2020-07-01,72,18.04,0.01,0
417,Sandy_1,4,2020-07-01,72,12.94,0,0
418,Onsl_2,3,2020-07-01,72,24,0.01,0
419,NH_3,3,2020-07-01,72,9,0,0
420,Onsl_3,3,2020-07-01,72,24,0.01,0
421,CL_4A,4,2020-07-01,72,15.68,0.01,0
422,OBX_4A,4,2020-07-01,72,9.56,0,0
423,OBX_4B,4,2020-07-01,72,8.74,0,0
424,Stump_1,4,2020-07-01,72,12,0,0
425,OBX_9B,4,2020-07-01,72,12.08,0,0
426,BS_14,2.5,2020-07-01,72,20,0.01,0
427,OBX_9A,4,2020-07-01,72,14.59,0.01,0
428,OBX_10A,4,2020-07-01,72,16.09,0.01,0
429,NR_8B,3,2020-07-01,72,17.68,0.01,0
430,NR_6,1.5,2020-07-01,72,18,0.01,0
431,BS_1,2.5,2020-07-01,72,21.92,0.01,0
432,BS_10,2.5,2020-07-01,72,20,0.01,0
