HA_CLASS,cmu_name,rainfall_threshold_in,rainfall_threshold_class
Bruns_1,U001,1,depth_defined
Bruns_2,U002,1,depth_defined
Bruns_3,U003,1.5,depth_defined
Bruns_3A,U004,1.5,depth_defined
Bruns_4,U005,2.5,depth_defined
Bruns_4A,U006,2,depth_defined
Bruns_5,U007,2,depth_defined
Bruns_6,U008,2,depth_defined
Bruns_7,U009,1,depth_defined
Bruns_8,U010,4,emergency
BS_1,U011,2.5,depth_defined
BS_2,U012,3,depth_defined
BS_3,U013,2.5,depth_defined
BS_4,U014,3,depth_defined
BS_5,U015,2.5,depth_defined
BS_6,U016,3,depth_defined
BS_7,U017,2.5,depth_defined
BS_8,U018,2.5,depth_defined
BS_9,U019,3,depth_defined
BS_10A,U020,2.5,depth_defined
BS_10B,U021,2,depth_defined
BS_11,U022,3,depth_defined
BS_12,U023,2,depth_defined
BS_13,U024,3,depth_defined
BS_13B,U025,3,depth_defined
BS_14,U026,2,depth_defined
BS_15,U027,3,depth_defined
CL_1,U028,4,emergency
CL_2,U029,4,emergency
CL_3,U030,4,emergency
CL_4A,U031,4,emergency
CL_4B,U032,4,emergency
Hyde_1,U033,4,emergency
Hyde_2,U034,4,emergency
Hyde_3,U035,4,emergency
Hyde_4,U036,4,emergency
Hyde_5,U037,4,emergency
Hyde_6,U038,4,emergency
JB_1A,U039,2,depth_defined
JB_1B,U040,2,depth_defined
JB_1C,U041,2,depth_defined
JB_2,U042,2,depth_defined
JB_3,U043,4,emergency
JB_4,U044,4,emergency
LS_1,U045,4,emergency
MU_1,U046,1.5,depth_defined
MU_2,U047,1.5,depth_defined
MU_3,U048,3,depth_defined
MU_4,U049,1.5,depth_defined
MU_5A,U050,1.5,depth_defined
MU_5B,U051,1.5,depth_defined
MU_6A,U052,3,depth_defined
MU_6B,U053,3,depth_defined
MU_6C,U054,3,depth_defined
MU_7,U055,1.5,depth_defined
MU_8,U056,1.5,depth_defined
MU_9,U057,3,depth_defined
MU_10,U058,3,depth_defined
MU_11,U059,1,depth_defined
MU_12,U060,1.5,depth_defined
MU_13,U061,3,depth_defined
MU_14,U062,3,depth_defined
MU_15,U063,1.5,depth_defined
MU_15A,U064,1.5,depth_defined
MU_16A,U065,2,depth_defined
MU_16B,U066,2,depth_defined
MU_17A,U067,3,depth_defined
MU_17B,U068,3,depth_defined
NB_1,U069,1.5,depth_defined
NB_2,U070,2,depth_defined
NB_3,U071,2,depth_defined
NB_4,U072,2,depth_defined
NB_5,U073,4,emergency
NB_6,U074,4,emergency
Neuse_1,U075,4,emergency
Neuse_2,U076,4,emergency
Neuse_3,U077,4,emergency
Neuse_4,U078,4,emergency
Neuse_6,U079,4,emergency
Neuse_7,U080,4,emergency
Neuse_8,U081,4,emergency
NH_1,U082,2,depth_defined
NH_2,U083,2,depth_defined
NH_3,U084,3,emergency
NH_4,U085,2.5,depth_defined
NH_5,U086,3,emergency
NH_6,U087,2,depth_defined
NH_7,U088,2,depth_defined
NHP_1,U089,2.5,depth_defined
NHP_2,U090,3,emergency
NPT_1,U091,1,depth_defined
NPT_2A,U092,1,depth_defined
NPT_2B,U093,1,depth_defined
NPT_3,U094,1.5,depth_defined
NPT_4,U095,1.5,depth_defined
NPT_5,U096,1.5,depth_defined
NPT_6,U097,1,depth_defined
NR_1,U098,1.5,depth_defined
NR_2,U099,1.5,depth_defined
NR_3,U100,1.5,depth_defined
NR_4,U101,1.5,depth_defined
NR_5,U102,1.5,depth_defined
NR_6,U103,1.5,depth_defined
NR_7,U104,1.5,depth_defined
NR_8A,U105,3,depth_defined
NR_8B,U106,3,depth_defined
NR_9,U107,4,emergency
NR_10,U108,4,emergency
OBX_1,U109,4,emergency
OBX_2,U110,4,emergency
OBX_3,U111,4,emergency
OBX_4A,U112,4,emergency
OBX_4B,U113,4,emergency
OBX_5,U114,4,emergency
OBX_5A,U115,4,emergency
OBX_6,U116,4,emergency
OBX_7,U117,4,emergency
OBX_8,U118,4,emergency
OBX_9A,U119,4,emergency
OBX_9B,U120,4,emergency
OBX_10A,U121,4,emergency
OBX_10B,U122,4,emergency
Onsl_1A,U123,3,depth_defined
Onsl_1B,U124,3,depth_defined
Onsl_2,U125,3,depth_defined
Onsl_3,U126,3,depth_defined
Onsl_4,U127,1.5,depth_defined
Onsl_5,U128,1.5,depth_defined
Onsl_6A,U129,1.5,depth_defined
Onsl_6B,U130,1.5,depth_defined
Onsl_7,U131,1.5,depth_defined
PAM_1,U132,4,emergency
PAM_2,U133,4,emergency
PAM_3,U134,4,emergency
PAM_4,U135,4,emergency
PAM_5,U136,4,emergency
PAM_6,U137,4,emergency
PAM_6A,U138,4,emergency
PAM_6B,U139,4,emergency
PAM_7,U140,4,emergency
PND_1,U141,2.5,depth_defined
PND_2,U142,3,emergency
PND_3,U143,2.5,depth_defined
PND_4,U144,3,emergency
PND_5,U145,2.5,depth_defined
PND_6,U146,3,emergency
Pungo_1,U147,4,emergency
Sandy_1,U148,4,emergency
Stump_1,U149,4,emergency
