sga_name,sga_county,sga_description,sga_desc_short,sga_desc_short_camel
I09,Chowan,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I09,Tyrell,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I09,Washington,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I10,Chowan,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I10,Tyrell,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I10,Washington,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I14,Chowan,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I14,Perquimans,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I14,Tyrell,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I14,Washington,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I15,Camden,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I15,Currituck,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I15,Dare,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I15,Pasquotank,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I15,Perquimans,Albemarle Sound Area,Albemarle Sound,AlbemarleSound
I03,Tyrell,Albemarle Sound Area and Bull Bay Area,Albemarle Sound Bull Bay,AlbemSoundBullBay
I03,Washington,Albemarle Sound Area and Bull Bay Area,Albemarle Sound Bull Bay,AlbemSoundBullBay
I11,Bertie,Albemarle Sound Area and Chowan River Area,Albemarle Sound Chowan,AlbemSoundChowan
I11,Chowan,Albemarle Sound Area and Chowan River Area,Albemarle Sound Chowan,AlbemSoundChowan
I12,Bertie,Albemarle Sound Area and Chowan River Area,Albemarle Sound Chowan,AlbemSoundChowan
I12,Chowan,Albemarle Sound Area and Chowan River Area,Albemarle Sound Chowan,AlbemSoundChowan
I12,Tyrell,Albemarle Sound Area and Chowan River Area,Albemarle Sound Chowan,AlbemSoundChowan
I12,Washington,Albemarle Sound Area and Chowan River Area,Albemarle Sound Chowan,AlbemSoundChowan
I13,Bertie,Albemarle Sound Area and Chowan River Area,Albemarle Sound Chowan,AlbemSoundChowan
I13,Chowan,Albemarle Sound Area and Chowan River Area,Albemarle Sound Chowan,AlbemSoundChowan
I02,Currituck,Albemarle Sound Area and Collington Area,Albemarle Sound Collington,AlbemSoundCollington
I02,Dare,Albemarle Sound Area and Collington Area,Albemarle Sound Collington,AlbemSoundCollington
I06,Pasquotank,Albemarle Sound Area and Little River and Flatty Creek Area,Albemarle Sound Little River Flatty Creek,AlbemSoundLittleFlatty
I06,Perquimans,Albemarle Sound Area and Little River and Flatty Creek Area,Albemarle Sound Little River Flatty Creek,AlbemSoundLittleFlatty
I01,Camden,Albemarle Sound Area and North River Area,Albemarle Sound North River,AlbemSoundNorthRiver
I01,Currituck,Albemarle Sound Area and North River Area,Albemarle Sound North River,AlbemSoundNorthRiver
I01,Dare,Albemarle Sound Area and North River Area,Albemarle Sound North River,AlbemSoundNorthRiver
I05,Camden,Albemarle Sound and Pasquotank River Area,Albemarle Sound Pasquotank River,AlbemSoundPasquotank
I05,Pasquotank,Albemarle Sound and Pasquotank River Area,Albemarle Sound Pasquotank River,AlbemSoundPasquotank
I07,Perquimans,Albemarle Sound Area and Perquimans River Area,Albemarle Sound Perquimans River,AlbemSoundPerquimans
I08,Chowan,Albemarle Sound Area and Yeopim River Area,Albemarle Sound Yeopim River,AlbemSoundYeopim
I08,Perquimans,Albemarle Sound Area and Yeopim River Area,Albemarle Sound Yeopim River,AlbemSoundYeopim
I04,Hyde,Alligator River Area,Alligator River,AlligatorRiver
F06,Pamlico,Bay River Area,Bay River,BayRiver
D01,Onslow,Bear Creek Area,Bear Creek,BearCreek
E05,Carteret,Beaufort Area,Beaufort,Beaufort
E02,Carteret,Bogue Sound Area,Bogue Sound,BogueSound
E01,Carteret,Bogue Sound Area and Broad Creek Area,Bogue Sound Broad Creek,BogueSoundBroad
E03,Carteret,Bogue Sound Area and Morehead City Area,Bogue Sound Morehead City,BogueSoundMorehead
A01,Brunswick,Calabash Area,Calbash,Calbash
B04,Brunswick,Cape Fear River Area,Cape Fear River,CapeFear
B04,New Hanover,Cape Fear River Area,Cape Fear River,CapeFear
B02,Brunswick,Cape Fear River and Buzzards Bay Area,Cape Fear River Buzzards Bay,CapeFearBuzzards
B01,Brunswick,Cape Fear River and Southport Area,Cape Fear River Southport,CapeFearSouthport
B03,Brunswick,Cape Fear River Area and The Basin Area,Cape Fear River The Basin,CapeFearTheBasin
B03,New Hanover,Cape Fear River Area and The Basin Area,Cape Fear River The Basin,CapeFearTheBasin
B10,Brunswick,Cape Fear River and Brunswick Area,Cape Fear River Brunswick,CapeFearBruns
F04,Carteret,Cedar Island Area,Cedar Island,CedarIsland
F02,Carteret,Core Creek and Merrimon and South River Area,Core Creek Merrimon River South River,CoreCreekSouthRiver
F02,Craven,Core Creek and Merrimon and South River Area,Core Creek Merrimon River South River,CoreCreekSouthRiver
E08,Carteret,Core Sound Area and Jarrett Bay Area,Core Sound Jarrett Bay,CoreSoundJarrett
E09,Carteret,Core Sound Area and Atlantic and Nelson Bay Area,Core Sound Atlantic Bay Nelson Bay,CoreSoundNelson
H02,Dare,Croatan Sound Area,Croatan Sound,CroatanSound
I16,Currituck,Currituck Sound Area,Currituck Sound,CurrituckSound
I16,Dare,Currituck Sound Area,Currituck Sound,CurrituckSound
D04,Carteret,Deer Creek Area,Deer Creek,DeerCreek
G05,Dare,Englehard Area and Long Shoal River Area,Englehard Long Shoal River,EnglehardLongShoal
