cmu_name,prob_1d_perc,prob_2d_perc,prob_3d_perc
U133,0,0,0
U038,0,0,0
U111,0,0,0
U010,0,0,0
U108,0,0,0
U039,0,0,0
U082,0,0,0
U086,0,0,0
U142,0,0,0
U144,0,0,0
U143,0,0,0
U129,0,0,0
U047,0,0,0
U048,0,0,0
U046,0,0,0
U049,0,0,0
U053,0,0,0
U054,0,0,0
U056,0,0,0
U051,0,0,0
U057,0,0,0
U052,0,0,0
U064,0,0,0
U065,0,0,0
U025,0,0,0
U016,0,0,0
U017,0,0,0
U109,0,0,0
U110,0,0,0
U073,0,0,0
U069,0,0,0
U102,0,0,0
U099,0,0,0
U091,0,0,0
U092,0,0,0
U093,0,0,0
U095,0,0,0
U008,0,0,0
U083,0,0,0
U146,0,0,0
U131,0,0,0
U130,0,0,0
U128,0,0,0
U050,0,0,0
U055,0,0,0
U058,0,0,0
U059,0,0,0
U063,0,0,0
U066,0,0,0
U012,0,0,0
U014,0,0,0
U013,0,0,0
U015,0,0,0
U018,0,0,0
U019,0,0,0
U020,0,0,0
U024,0,0,0
U023,0,0,0
U080,0,0,0
U084,0,0,0
U112,0,0,0
U149,0,0,0
U045,0,0,0
U113,0,0,0
U117,0,0,0
U148,0,0,0
U119,0,0,0
U116,0,0,0
U120,0,0,0
U115,0,0,0
U034,0,0,0
U139,0,0,0
U136,0,0,0
U135,0,0,0
U147,0,0,0
U037,0,0,0
U036,0,0,0
U140,0,0,0
U137,0,0,0
U076,0,0,0
U079,0,0,0
U081,0,0,0
U072,0,0,0
U075,0,0,0
U031,0,0,0
U042,0,0,0
U104,0,0,0
U103,0,0,0
U101,0,0,0
U100,0,0,0
U107,0,0,0
U044,0,0,0
U074,0,0,0
U138,0,0,0
U035,0,0,0
U033,0,0,0
U132,0,0,0
U028,0,0,0
U011,0,0,0
U070,0,0,0
U071,0,0,0
U118,0,0,0
U114,0,0,0
U134,0,0,0
U009,0,0,0
U060,0,0,0
U061,0,0,0
U026,0,0,0
U027,0,0,0
U043,0,0,0
U062,0,0,0
U106,0,0,0
U122,0,0,0
U030,0,0,0
U121,0,0,0
U029,0,0,0
U032,0,0,0
U145,0,0,0
U105,0,0,0
U098,0,0,0
U078,0,0,0
U021,0,0,0
U068,0,0,0
U123,0,0,0
U124,0,0,0
U087,0,0,0
U005,0,0,0
U077,0,0,0
U088,0,0,0
U089,0,0,0
U090,0,0,0
U002,0,0,0
U001,0,0,0
U006,0,0,0
U007,0,0,0
U003,0,0,0
U004,0,0,0
U041,0,0,0
U022,0,0,0
U141,0,0,0
U067,0,0,0
U085,0,0,0
U094,0,0,0
U096,0,0,0
U097,0,0,0
U126,0,0,0
U040,0,0,0
U125,0,0,0
U127,0,0,0
