lease_id,day,prob_1d_perc,prob_2d_perc,prob_3d_perc
1-C-89,2020-08-03,1,0,0
194,2020-08-03,2,0,0
195,2020-08-03,1,0,0
447,2020-08-03,1,0,0
26-C-94,2020-08-03,1,0,0
9510,2020-08-03,0,0,0
8602,2020-08-03,0,0,0
9513-A,2020-08-03,0,0,0
443,2020-08-03,0,0,0
1259571,2020-08-03,0,0,0
2401,2020-08-03,0,0,0
2-C-89,2020-08-03,1,0,0
887,2020-08-03,0,0,0
725A,2020-08-03,0,0,0
877,2020-08-03,0,0,0
8403,2020-08-03,0,0,0
8402A,2020-08-03,0,0,0
8402B,2020-08-03,0,0,0
684,2020-08-03,0,0,0
879,2020-08-03,2,0,0
385,2020-08-03,0,0,0
885,2020-08-03,0,0,0
25-67,2020-08-03,0,0,0
186,2020-08-03,1,0,0
425,2020-08-03,1,0,0
703,2020-08-03,0,0,0
9610,2020-08-03,0,0,0
62-75,2020-08-03,0,0,0
414,2020-08-03,0,0,0
432,2020-08-03,0,0,0
440,2020-08-03,0,0,0
8501A,2020-08-03,0,0,0
477,2020-08-03,0,0,0
504,2020-08-03,0,0,0
570B,2020-08-03,0,0,0
9411,2020-08-03,0,0,0
334,2020-08-03,1,0,0
222,2020-08-03,0,0,0
46-C-99,2020-08-03,0,0,0
518,2020-08-03,0,0,0
539,2020-08-03,0,0,0
64-75A,2020-08-03,0,0,0
64-75B,2020-08-03,0,0,0
1062926,2020-08-03,0,0,0
6-C-90,2020-08-03,0,0,0
749,2020-08-03,0,0,0
8804,2020-08-03,0,0,0
493,2020-08-03,0,0,0
9811,2020-08-03,0,0,0
9810,2020-08-03,0,0,0
797,2020-08-03,0,0,0
753186-B,2020-08-03,0,0,0
753186-A,2020-08-03,0,0,0
4-C-89,2020-08-03,1,0,0
19-C-92,2020-08-03,2,0,0
363,2020-08-03,2,0,0
10-C-91,2020-08-03,0,0,0
791,2020-08-03,0,0,0
91-80,2020-08-03,0,0,0
614,2020-08-03,0,0,0
9705,2020-08-03,0,0,0
1062918,2020-08-03,0,0,0
1084359,2020-08-03,0,0,0
32-C-95,2020-08-03,1,0,0
33-C-95,2020-08-03,1,0,0
34-C-95,2020-08-03,1,0,0
35-C-95,2020-08-03,1,0,0
36-C-95,2020-08-03,1,0,0
37-C-95,2020-08-03,1,0,0
38-C-95,2020-08-03,1,0,0
39-C-95,2020-08-03,1,0,0
41-C-95,2020-08-03,1,0,0
40-C-95,2020-08-03,1,0,0
900779,2020-08-03,0,0,0
8-C-91,2020-08-03,1,0,0
538,2020-08-03,0,0,0
18-C-92,2020-08-03,0,0,0
3-C-89,2020-08-03,0,0,0
16-C-91,2020-08-03,0,0,0
24-C-93,2020-08-03,0,0,0
21-C-93,2020-08-03,0,0,0
1625680,2020-08-03,0,0,0
9-C-91,2020-08-03,0,0,0
989749,2020-08-03,0,0,0
7-C-90,2020-08-03,0,0,0
20-C-92,2020-08-03,0,0,0
9712,2020-08-03,0,0,0
744,2020-08-03,0,0,0
746,2020-08-03,0,0,0
881003,2020-08-03,0,0,0
8916,2020-08-03,0,0,0
1459247,2020-08-03,0,0,0
1226208,2020-08-03,0,0,0
751,2020-08-03,0,0,0
8917,2020-08-03,0,0,0
9209,2020-08-03,0,0,0
850,2020-08-03,0,0,0
647,2020-08-03,0,0,0
864,2020-08-03,0,0,0
42-C-95,2020-08-03,1,0,0
1194059,2020-08-03,0,0,0
9301,2020-08-03,0,0,0
9509,2020-08-03,0,0,0
9611,2020-08-03,0,0,0
1379452,2020-08-03,0,0,0
9202,2020-08-03,0,0,0
8702,2020-08-03,0,0,0
8709,2020-08-03,1,0,0
8803,2020-08-03,0,0,0
883B,2020-08-03,0,0,0
9702,2020-08-03,0,0,0
9703,2020-08-03,0,0,0
9707,2020-08-03,0,0,0
9802,2020-08-03,0,0,0
83-80,2020-08-03,0,0,0
1535442,2020-08-03,0,0,0
96,2020-08-03,2,0,0
9405,2020-08-03,0,0,0
1610179,2020-08-03,0,0,0
9002,2020-08-03,0,0,0
8816,2020-08-03,0,0,0
522-A,2020-08-03,0,0,0
15-66A,2020-08-03,0,0,0
492,2020-08-03,0,0,0
883A,2020-08-03,0,0,0
793-A,2020-08-03,0,0,0
793-B,2020-08-03,0,0,0
WC-12-06,2020-08-03,0,0,0
448,2020-08-03,0,0,0
739,2020-08-03,0,0,0
9404,2020-08-03,0,0,0
9709,2020-08-03,0,0,0
1554609,2020-08-03,0,0,0
336,2020-08-03,1,0,0
906461,2020-08-03,1,0,0
846,2020-08-03,0,0,0
8921,2020-08-03,0,0,0
1590926,2020-08-03,0,0,0
1600550,2020-08-03,0,0,0
282,2020-08-03,0,0,0
631,2020-08-03,0,0,0
5-C-89,2020-08-03,1,0,0
45-C-97,2020-08-03,0,0,0
8817,2020-08-03,0,0,0
9108,2020-08-03,0,0,0
9102,2020-08-03,0,0,0
1601764,2020-08-03,0,0,0
624,2020-08-03,0,0,0
9203,2020-08-03,0,0,0
1427111,2020-08-03,0,0,0
1408350,2020-08-03,0,0,0
2101,2020-08-03,0,0,0
1546217,2020-08-03,1,0,0
8910,2020-08-03,0,0,0
747,2020-08-03,0,0,0
630,2020-08-03,0,0,0
20-66,2020-08-03,0,0,0
603,2020-08-03,0,0,0
734,2020-08-03,0,0,0
149,2020-08-03,2,0,0
2001,2020-08-03,2,0,0
641,2020-08-03,0,0,0
642,2020-08-03,0,0,0
9304,2020-08-03,0,0,0
995969,2020-08-03,2,0,0
841,2020-08-03,0,0,0
328,2020-08-03,2,0,0
9207,2020-08-03,0,0,0
1652130,2020-08-03,0,0,0
145,2020-08-03,0,0,0
155,2020-08-03,2,0,0
344-A,2020-08-03,0,0,0
347,2020-08-03,0,0,0
857,2020-08-03,0,0,0
866,2020-08-03,0,0,0
9201,2020-08-03,0,0,0
1636075,2020-08-03,0,0,0
1636083,2020-08-03,0,0,0
164,2020-08-03,0,0,0
1683820,2020-08-03,0,0,0
1618255,2020-08-03,0,0,0
1627843,2020-08-03,0,0,0
1632173,2020-08-03,0,0,0
1624519,2020-08-03,0,0,0
1572734,2020-08-03,0,0,0
WC-7-96,2020-08-03,1,0,0
1623511,2020-08-03,1,0,0
1547728,2020-08-03,0,0,0
1642487,2020-08-03,0,0,0
1642578,2020-08-03,0,0,0
1704170,2020-08-03,0,0,0
1704188,2020-08-03,0,0,0
1703669,2020-08-03,0,0,0
1703677,2020-08-03,0,0,0
9803,2020-08-03,0,0,0
1701838,2020-08-03,0,0,0
1670165,2020-08-03,0,0,0
1652866,2020-08-03,0,0,0
1686427,2020-08-03,0,0,0
1770692,2020-08-03,0,0,0
1770700,2020-08-03,0,0,0
1746197,2020-08-03,0,0,0
1701846,2020-08-03,0,0,0
1624147,2020-08-03,0,0,0
1650142,2020-08-03,0,0,0
1722024,2020-08-03,0,0,0
1652148,2020-08-03,0,0,0
1702596,2020-08-03,0,0,0
1702604,2020-08-03,0,0,0
1763929,2020-08-03,0,0,0
1792357,2020-08-03,0,0,0
WC-13-09,2020-08-03,0,0,0
1718394,2020-08-03,0,0,0
1670173,2020-08-03,0,0,0
1705169,2020-08-03,0,0,0
9613,2020-08-03,0,0,0
1843986,2020-08-03,0,0,0
689,2020-08-03,0,0,0
1886639,2020-08-03,0,0,0
1859933,2020-08-03,0,0,0
1891340,2020-08-03,0,0,0
1872753,2020-08-03,0,0,0
1872779,2020-08-03,0,0,0
1861319,2020-08-03,0,0,0
1861301,2020-08-03,0,0,0
1892199,2020-08-03,0,0,0
1889450,2020-08-03,0,0,0
1863943,2020-08-03,0,0,0
1867472,2020-08-03,0,0,0
1885508,2020-08-03,0,0,0
1867944,2020-08-03,0,0,0
1897156,2020-08-03,1,0,0
1897966,2020-08-03,0,0,0
1849561,2020-08-03,0,0,0
1709310,2020-08-03,0,0,0
1841451,2020-08-03,0,0,0
1809318,2020-08-03,0,0,0
1900919,2020-08-03,0,0,0
1803675,2020-08-03,0,0,0
1804186,2020-08-03,0,0,0
1800853,2020-08-03,0,0,0
1854256,2020-08-03,0,0,0
1809391,2020-08-03,0,0,0
1859941,2020-08-03,0,0,0
1535467,2020-08-03,0,0,0
1865278,2020-08-03,0,0,0
1871458,2020-08-03,0,0,0
1889468,2020-08-03,0,0,0
1797083,2020-08-03,0,0,0
1801158,2020-08-03,0,0,0
1871441,2020-08-03,0,0,0
1800861,2020-08-03,0,0,0
1885565,2020-08-03,0,0,0
1867951,2020-08-03,0,0,0
1860139,2020-08-03,0,0,0
1900182,2020-08-03,0,0,0
1858844,2020-08-03,0,0,0
1872787,2020-08-03,0,0,0
1863950,2020-08-03,0,0,0
1709328,2020-08-03,0,0,0
1849579,2020-08-03,0,0,0
1882265,2020-08-03,0,0,0
1895028,2020-08-03,0,0,0
1888890,2020-08-03,0,0,0
1888908,2020-08-03,0,0,0
1766302,2020-08-03,0,0,0
1894906,2020-08-03,0,0,0
1789601,2020-08-03,0,0,0
