datetime_uct_str,status
2020-08-11 00:00,available
2020-08-12 00:00,available
2020-08-13 00:00,available
2020-08-14 00:00,available
2020-08-15 00:00,available
2020-08-16 00:00,available
2020-08-17 00:00,available
2020-08-18 00:00,available
2020-08-19 00:00,available
2020-08-20 00:00,available
2020-09-01 00:00,available
2020-09-02 00:00,available
2020-09-03 00:00,available
2020-09-04 00:00,available
2020-09-05 00:00,available
2020-09-06 00:00,available
2020-09-07 00:00,available
2020-09-08 00:00,available
2020-09-09 00:00,available
2020-09-10 00:00,available
2020-09-11 00:00,available
2020-09-12 00:00,available
2020-09-13 00:00,available
2020-09-14 00:00,available
2020-09-16 00:00,available
2020-09-17 00:00,available
2020-09-19 00:00,available
2020-09-21 00:00,available
2020-09-22 00:00,available
2020-09-23 00:00,available
2021-04-20 00:00,available
2021-04-20 00:00,available
2021-04-22 00:00,available
2021-04-22 00:00,available
2021-04-28 00:00,available
2021-04-28 00:00,available
2021-04-28 00:00,available
2021-04-28 00:00,available
2021-04-29 00:00,available
2021-04-29 00:00,available
2021-04-29 00:00,available
2021-04-30 00:00,available
2021-05-01 00:00,available
2021-05-02 00:00,available
2021-05-03 00:00,available
2021-05-04 00:00,available
2021-05-04 00:00,available
2021-05-05 00:00,available
2021-05-06 00:00,available
2021-05-07 00:00,available
2021-05-08 00:00,available
2021-05-09 00:00,available
2021-05-17 00:00,available
2021-05-17 00:00,available
