HA_CLASS,rainfall_thresh_in,datetime_uct,valid_period_hrs,pop12_perc,qpf_in,prob_close_perc,flag
PAM_1,4,9/15/20,24,37.84,0.05,0,testing
Pungo_1,4,9/15/20,24,37.38,0.05,0,testing
Hyde_6,4,9/15/20,24,34.99,0.02,0,testing
OBX_3,4,9/15/20,24,27,0.02,0,testing
Bruns_1,1,9/15/20,24,38,0.03,0,testing
Bruns_2,1,9/15/20,24,39,0.04,0,testing
Bruns_7,1,9/15/20,24,39,0.07,0,testing
Bruns_8,4,9/15/20,24,37.04,0.08,0,testing
NHP_2,3,9/15/20,24,38.64,0.04,0,testing
PAM_6A,4,9/15/20,24,37.86,0.04,0,testing
NR_5,1.5,9/15/20,24,37,0.03,0,testing
NR_9,4,9/15/20,24,37.12,0.03,0,testing
JB_1A,2,9/15/20,24,36,0.03,0,testing
CL_3,4,9/15/20,24,33.89,0.03,0,testing
Bruns_3,1.5,9/15/20,24,39,0.04,0,testing
Bruns_4A,2,9/15/20,24,39,0.05,0,testing
NH_1,2,9/15/20,24,37,0.08,0,testing
NH_5,3,9/15/20,24,38,0.06,0,testing
NH_7,2,9/15/20,24,37.96,0.05,0,testing
PND_2,3,9/15/20,24,38.85,0.05,0,testing
PND_4,3,9/15/20,24,37.36,0.05,0,testing
PND_3,2.5,9/15/20,24,37.6,0.05,0,testing
NHP_1,2.5,9/15/20,24,40.25,0.04,0,testing
Onsl_6A,1.5,9/15/20,24,37,0.1,0,testing
MU_2,1.5,9/15/20,24,38,0.12,0,testing
MU_3,3,9/15/20,24,38,0.12,0,testing
MU_1,1.5,9/15/20,24,38,0.12,0,testing
MU_4,1.5,9/15/20,24,39,0.12,0,testing
MU_6B,3,9/15/20,24,39,0.12,0,testing
MU_6C,3,9/15/20,24,38.67,0.12,0,testing
MU_8,1.5,9/15/20,24,39,0.12,0,testing
MU_5B,1.5,9/15/20,24,39,0.12,0,testing
MU_9,3,9/15/20,24,39,0.12,0,testing
MU_6A,3,9/15/20,24,39,0.11,0,testing
MU_15A,1.5,9/15/20,24,39,0.12,0,testing
MU_16A,2,9/15/20,24,39,0.12,0,testing
MU_17,3,9/15/20,24,39,0.12,0,testing
BS_13B,3,9/15/20,24,38,0.04,0,testing
BS_6,3,9/15/20,24,39,0.1,0,testing
BS_7,2.5,9/15/20,24,39,0.09,0,testing
BS_15,3,9/15/20,24,38,0.03,0,testing
PAM_6B,4,9/15/20,24,38,0.04,0,testing
OBX_1,4,9/15/20,24,27.7,0.02,0,testing
PAM_2,4,9/15/20,24,36.17,0.04,0,testing
PAM_4,4,9/15/20,24,35.18,0.04,0,testing
PAM_5,4,9/15/20,24,36.48,0.04,0,testing
Hyde_3,4,9/15/20,24,33.79,0.02,0,testing
Neuse_2,4,9/15/20,24,37.78,0.05,0,testing
Neuse_3,4,9/15/20,24,37,0.04,0,testing
Neuse_6,4,9/15/20,24,35.14,0.03,0,testing
Neuse_4,4,9/15/20,24,36.44,0.05,0,testing
Neuse_1,4,9/15/20,24,37.01,0.06,0,testing
Neuse_8,4,9/15/20,24,34.78,0.03,0,testing
PAM_3,4,9/15/20,24,36.39,0.04,0,testing
Hyde_5,4,9/15/20,24,35.31,0.03,0,testing
Hyde_4,4,9/15/20,24,35,0.03,0,testing
Hyde_2,4,9/15/20,24,32.38,0.02,0,testing
Hyde_1,4,9/15/20,24,31.51,0.02,0,testing
LS_1,4,9/15/20,24,29.15,0.02,0,testing
OBX_2,4,9/15/20,24,27.02,0.02,0,testing
OBX_5A,4,9/15/20,24,27.11,0.03,0,testing
OBX_6,4,9/15/20,24,28.55,0.03,0,testing
OBX_5,4,9/15/20,24,27,0.02,0,testing
CL_4B,4,9/15/20,24,33.43,0.03,0,testing
CL_2,4,9/15/20,24,34.7,0.03,0,testing
OBX_7,4,9/15/20,24,29.96,0.04,0,testing
OBX_8,4,9/15/20,24,30.53,0.03,0,testing
OBX_10B,4,9/15/20,24,32.11,0.03,0,testing
CL_1,4,9/15/20,24,35,0.03,0,testing
NB_4,2,9/15/20,24,35,0.03,0,testing
NB_3,2,9/15/20,24,35.57,0.03,0,testing
NB_1,1.5,9/15/20,24,36,0.03,0,testing
NB_2,2,9/15/20,24,36,0.03,0,testing
NB_5,4,9/15/20,24,35.19,0.03,0,testing
JB_2,2,9/15/20,24,36,0.03,0,testing
JB_1,2,9/15/20,24,36,0.03,0,testing
NR_2,1.5,9/15/20,24,37,0.03,0,testing
NR_8A,3,9/15/20,24,37,0.04,0,testing
NR_10,4,9/15/20,24,36.5,0.04,0,testing
JB_4,4,9/15/20,24,35.96,0.04,0,testing
NR_3,1.5,9/15/20,24,37,0.03,0,testing
NR_4,1.5,9/15/20,24,37,0.03,0,testing
NR_7,1.5,9/15/20,24,36,0.04,0,testing
NPT_1,1,9/15/20,24,38,0.04,0,testing
NPT_2A,1,9/15/20,24,38,0.04,0,testing
NPT_2B,1,9/15/20,24,38,0.04,0,testing
NPT_4,1.5,9/15/20,24,37.5,0.03,0,testing
NPT_5,1.5,9/15/20,24,37.45,0.03,0,testing
Bruns_3A,1.5,9/15/20,24,39,0.04,0,testing
Bruns_4,2.5,9/15/20,24,39,0.04,0,testing
Bruns_5,2,9/15/20,24,0,0,0,testing
Bruns_6,2,9/15/20,24,39.11,0.06,0,testing
NH_2,2,9/15/20,24,37.8,0.07,0,testing
NH_4,2.5,9/15/20,24,38,0.06,0,testing
PND_1,2.5,9/15/20,24,39,0.05,0,testing
PND_5,2.5,9/15/20,24,37.25,0.05,0,testing
PND_6,3,9/15/20,24,37.08,0.05,0,testing
Onsl_7,1.5,9/15/20,24,37,0.06,0,testing
Onsl_6B,1.5,9/15/20,24,37,0.09,0,testing
Onsl_5,1.5,9/15/20,24,37.61,0.11,0,testing
Onsl_4,1.5,9/15/20,24,38,0.11,0,testing
Onsl_1,3,9/15/20,24,39,0.11,0,testing
MU_5A,1.5,9/15/20,24,39,0.12,0,testing
