lease_id,datetime_uct,prob_1d_perc,prob_2d_perc,prob_3d_perc,flag
1-C-89,9/15/20,0,0,0,testing
194,9/15/20,0,0,0,testing
195,9/15/20,0,0,0,testing
447,9/15/20,0,0,0,testing
26-C-94,9/15/20,0,0,0,testing
9510,9/15/20,0,0,0,testing
8602,9/15/20,0,0,0,testing
9513-A,9/15/20,0,0,0,testing
443,9/15/20,0,0,0,testing
1259571,9/15/20,0,0,0,testing
2401,9/15/20,0,0,0,testing
2-C-89,9/15/20,0,0,0,testing
887,9/15/20,0,0,0,testing
725A,9/15/20,0,0,0,testing
877,9/15/20,0,0,0,testing
8403,9/15/20,0,0,0,testing
8402A,9/15/20,0,0,0,testing
8402B,9/15/20,0,0,0,testing
684,9/15/20,0,0,0,testing
879,9/15/20,0,0,0,testing
385,9/15/20,0,0,0,testing
885,9/15/20,0,0,0,testing
25-67,9/15/20,0,0,0,testing
186,9/15/20,0,0,0,testing
425,9/15/20,0,0,0,testing
703,9/15/20,0,0,0,testing
9610,9/15/20,0,0,0,testing
62-75,9/15/20,0,0,0,testing
414,9/15/20,0,0,0,testing
432,9/15/20,0,0,0,testing
440,9/15/20,0,0,0,testing
8501A,9/15/20,0,0,0,testing
477,9/15/20,0,0,0,testing
504,9/15/20,0,0,0,testing
570B,9/15/20,0,0,0,testing
9411,9/15/20,0,0,0,testing
334,9/15/20,0,0,0,testing
222,9/15/20,0,0,0,testing
518,9/15/20,0,0,0,testing
539,9/15/20,0,0,0,testing
64-75A,9/15/20,0,0,0,testing
64-75B,9/15/20,0,0,0,testing
1062926,9/15/20,0,0,0,testing
6-C-90,9/15/20,0,0,0,testing
749,9/15/20,0,0,0,testing
8804,9/15/20,0,0,0,testing
493,9/15/20,0,0,0,testing
9811,9/15/20,0,0,0,testing
9810,9/15/20,0,0,0,testing
797,9/15/20,0,0,0,testing
753186-B,9/15/20,0,0,0,testing
753186-A,9/15/20,0,0,0,testing
4-C-89,9/15/20,0,0,0,testing
19-C-92,9/15/20,0,0,0,testing
363,9/15/20,0,0,0,testing
791,9/15/20,0,0,0,testing
91-80,9/15/20,0,0,0,testing
614,9/15/20,0,0,0,testing
9705,9/15/20,0,0,0,testing
1062918,9/15/20,0,0,0,testing
1084359,9/15/20,0,0,0,testing
32-C-95,9/15/20,0,0,0,testing
33-C-95,9/15/20,0,0,0,testing
34-C-95,9/15/20,0,0,0,testing
35-C-95,9/15/20,0,0,0,testing
36-C-95,9/15/20,0,0,0,testing
37-C-95,9/15/20,0,0,0,testing
38-C-95,9/15/20,0,0,0,testing
39-C-95,9/15/20,0,0,0,testing
40-C-95,9/15/20,0,0,0,testing
900779,9/15/20,0,0,0,testing
8-C-91,9/15/20,0,0,0,testing
538,9/15/20,0,0,0,testing
18-C-92,9/15/20,0,0,0,testing
3-C-89,9/15/20,0,0,0,testing
16-C-91,9/15/20,0,0,0,testing
24-C-93,9/15/20,0,0,0,testing
989749,9/15/20,0,0,0,testing
7-C-90,9/15/20,0,0,0,testing
20-C-92,9/15/20,0,0,0,testing
9712,9/15/20,0,0,0,testing
744,9/15/20,0,0,0,testing
746,9/15/20,0,0,0,testing
881003,9/15/20,0,0,0,testing
8916,9/15/20,0,0,0,testing
1459247,9/15/20,0,0,0,testing
1226208,9/15/20,0,0,0,testing
751,9/15/20,0,0,0,testing
8917,9/15/20,0,0,0,testing
9209,9/15/20,0,0,0,testing
850,9/15/20,0,0,0,testing
647,9/15/20,0,0,0,testing
864,9/15/20,0,0,0,testing
1194059,9/15/20,0,0,0,testing
9301,9/15/20,0,0,0,testing
9509,9/15/20,0,0,0,testing
9611,9/15/20,0,0,0,testing
1379452,9/15/20,0,0,0,testing
9202,9/15/20,0,0,0,testing
8702,9/15/20,0,0,0,testing
8709,9/15/20,0,0,0,testing
8803,9/15/20,0,0,0,testing
883B,9/15/20,0,0,0,testing
9702,9/15/20,0,0,0,testing
9703,9/15/20,0,0,0,testing
9707,9/15/20,0,0,0,testing
9802,9/15/20,0,0,0,testing
500-A,9/15/20,0,0,0,testing
83-80,9/15/20,0,0,0,testing
1535442,9/15/20,0,0,0,testing
96,9/15/20,0,0,0,testing
9405,9/15/20,0,0,0,testing
1610179,9/15/20,0,0,0,testing
9002,9/15/20,0,0,0,testing
8816,9/15/20,0,0,0,testing
522-A,9/15/20,0,0,0,testing
15-66A,9/15/20,0,0,0,testing
492,9/15/20,0,0,0,testing
883A,9/15/20,0,0,0,testing
793-A,9/15/20,0,0,0,testing
793-B,9/15/20,0,0,0,testing
WC-12-06,9/15/20,0,0,0,testing
448,9/15/20,0,0,0,testing
739,9/15/20,0,0,0,testing
9404,9/15/20,0,0,0,testing
9709,9/15/20,0,0,0,testing
1554609,9/15/20,0,0,0,testing
336,9/15/20,0,0,0,testing
906461,9/15/20,0,0,0,testing
846,9/15/20,0,0,0,testing
8921,9/15/20,0,0,0,testing
1590926,9/15/20,0,0,0,testing
1600550,9/15/20,0,0,0,testing
282,9/15/20,0,0,0,testing
631,9/15/20,0,0,0,testing
5-C-89,9/15/20,0,0,0,testing
45-C-97,9/15/20,0,0,0,testing
8817,9/15/20,0,0,0,testing
9108,9/15/20,0,0,0,testing
9102,9/15/20,0,0,0,testing
1601764,9/15/20,0,0,0,testing
624,9/15/20,0,0,0,testing
9203,9/15/20,0,0,0,testing
1427111,9/15/20,0,0,0,testing
1408350,9/15/20,0,0,0,testing
