lease_id,grow_area_name,waterbody,grow_area_type,rainfall_desc,cmu_name,rainfall_thresh_days,rainfall_thresh_in,emerg_cond,latitude,longitude
CC-06,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8427258129,-81.6397581036
CC-07,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8432722629,-81.6391824586
L-701,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1498562778,-82.9972242927
L-702,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1495422472,-82.9968298262
L-703,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.149228216,-82.9964353643
L-704,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1489141772,-82.9960408928
L-705,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1486001458,-82.9956464485
L-706,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1482861104,-82.9952519765
L-707,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1479720688,-82.9948575429
L-708,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1476580332,-82.9944630758
L-709,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1473439889,-82.9940686323
L-710,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1470299485,-82.9936741854
L-711,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.146715904,-82.993279727
L-712,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1464018574,-82.9928853063
L-713,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1460878198,-82.9924908459
L-714,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.145773768,-82.9920964144
L-715,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.14545972,-82.9917019828
L-716,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1451456725,-82.9913075501
L-717,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1448316226,-82.9909131246
L-718,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1445175672,-82.9905186799
L-719,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1442035142,-82.9901242776
L-720,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1438894627,-82.9897298393
L-721,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1435754072,-82.9893354198
L-722,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1432613542,-82.9889409998
L-723,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1429472912,-82.9885465708
L-724,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1426332323,-82.9881521789
L-725,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1423191597,-82.9877577558
L-726,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1420050959,-82.9873633712
L-727,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1506932851,-82.996000143
L-728,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1500652127,-82.9952112193
L-729,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1494371486,-82.9944217857
L-730,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1488090547,-82.9936333923
L-731,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1481809656,-82.9928444848
L-732,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1475528739,-82.9920556003
L-733,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1469247789,-82.9912667182
L-734,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.146296677,-82.9904778464
L-735,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1456685691,-82.989688986
L-736,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1450404491,-82.988900135
L-737,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1444123287,-82.9881113
L-738,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1437841888,-82.9873224602
L-739,CORRIGANS,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1431560632,-82.98653364
L-801,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1466786784,-83.007424672
L-802,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1460723788,-83.0072524011
L-803,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1453987184,-83.007060969
L-804,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1447924202,-83.0068886808
L-805,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1441861228,-83.0067163942
L-806,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1435798231,-83.0065441139
L-807,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1429735032,-83.006371802
L-808,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.142367223,-83.0061995556
L-809,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1417609218,-83.0060272694
L-810,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1462044234,-83.0087612997
L-811,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1455981265,-83.0085889993
L-812,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1449244731,-83.0083975595
L-813,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1443181762,-83.0082253691
L-814,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1437118749,-83.008052976
L-827,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1431055806,-83.0078806823
L-828,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.142499281,-83.0077083928
L-829,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1418929823,-83.0075361108
L-830,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1412866852,-83.0073638239
L-815,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1457041432,-83.0101712084
L-816,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1450978465,-83.0099988967
L-817,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1444241977,-83.0098074522
L-818,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1438178976,-83.0096351562
L-819,DOG ISLAND,,AUZ,3 days >6.67"Cedar Key Forestry,250_30,3,6.67,NO,29.1432116077,-83.0094628519
CC-01,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.839993543,-81.6426362582
CC-02,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8405400029,-81.6420606378
CC-03,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8410864583,-81.641485013
CC-04,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8416329136,-81.6409093826
CC-05,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8421793658,-81.640333746
CC-08,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8438187118,-81.6386068047
CC-09,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8443651532,-81.6380311478
CC-10,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8449115986,-81.6374554879
CC-11,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8454580373,-81.6368798192
CC-12,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8460044738,-81.6363041472
CC-13,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8465509034,-81.6357284676
CC-14,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8470973343,-81.6351527819
CC-15,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8476437677,-81.6345770978
CC-16,CAPE ROMANO,,AUZ,2 days >3.50" NOAA,271_66,2,3.50,NO,25.8481901944,-81.6340014016
L-549,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2169230135,-83.095633042
l-525,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2171823905,-83.0937757648
L-501,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2174417367,-83.0919184653
L-550,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.216379918,-83.0955344663
L-551,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2158368102,-83.0954359073
L-552,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2152937051,-83.0953373666
L-553,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2147506015,-83.0952388148
L-554,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2142074912,-83.0951402538
L-555,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2136643995,-83.0950416896
L-556,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2131212965,-83.0949431535
L-557,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.212578187,-83.0948446014
L-558,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2120350806,-83.0947460522
L-559,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.211491987,-83.0946474908
L-560,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2109488812,-83.0945489461
L-561,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2104057704,-83.0944503998
L-562,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2098626652,-83.0943518691
L-563,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2093195787,-83.0942533959
L-564,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2087764729,-83.0941548563
L-565,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2082333508,-83.0940562409
L-566,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2076902464,-83.093957704
L-567,DERRICKS,,AUZ,EmergCond/3 day >10.5" Cedar Key Forestry,241_30,3,10.5,YES,29.2071471542,-83.0938591483
