lease_id,cmu_name,grow_area_name,grow_area_type,waterbody,rainfall_desc,rainfall_thresh_days,rainfall_thresh_in,emerg_cond,latitude,longitude
CC-06,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84272581,-81.6397581
CC-07,271_66,CAPE ROMANO,AUZ, ,"2 days >3.50"" NOAA",2,3.5,NO,25.84327226,-81.63918246
L-701,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14985628,-82.99722429
L-702,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14954225,-82.99682983
L-703,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14922822,-82.99643536
L-704,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14891418,-82.99604089
L-705,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14860015,-82.99564645
L-706,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14828611,-82.99525198
L-707,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14797207,-82.99485754
L-708,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14765803,-82.99446308
L-709,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14734399,-82.99406863
L-710,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14702995,-82.99367419
L-711,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.1467159,-82.99327973
L-712,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14640186,-82.99288531
L-713,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14608782,-82.99249085
L-714,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14577377,-82.99209641
L-715,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14545972,-82.99170198
L-716,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14514567,-82.99130755
L-717,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14483162,-82.99091312
L-718,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14451757,-82.99051868
L-719,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14420351,-82.99012428
L-720,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14388946,-82.98972984
L-721,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14357541,-82.98933542
L-722,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14326135,-82.988941
L-723,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14294729,-82.98854657
L-724,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14263323,-82.98815218
L-725,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.14231916,-82.98775776
L-726,250_30,CORRIGANS,AUZ, ,"3 days >6.67"" Cedar Key Forestry",3,6.67,NO,29.1420051,-82.98736337
