parcel_num,parcel_nam,waterbody,src,longitude,latitude,sh_id,sh_name,class_no,uid,rainfall,days,rain_in,season
CC-06,CAPE ROMANO, ,AUZ,-81.639758100899996,25.842725813200001,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-07,CAPE ROMANO, ,AUZ,-81.639182456100002,25.843272264399999,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
L-701,CORRIGANS, ,AUZ,-82.997224296200002,29.149856278900000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-702,CORRIGANS, ,AUZ,-82.996829830099998,29.149542248400000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-703,CORRIGANS, ,AUZ,-82.996435368400000,29.149228216800001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-704,CORRIGANS, ,AUZ,-82.996040896699995,29.148914178700000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-705,CORRIGANS, ,AUZ,-82.995646451900001,29.148600146900002,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-706,CORRIGANS, ,AUZ,-82.995251980700004,29.148286111000001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-707,CORRIGANS, ,AUZ,-82.994857546700004,29.147972069900000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-708,CORRIGANS, ,AUZ,-82.994463080000003,29.147658033700001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-709,CORRIGANS, ,AUZ,-82.994068636300000,29.147343990300001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-710,CORRIGANS, ,AUZ,-82.993674189600000,29.147029949400000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-711,CORRIGANS, ,AUZ,-82.993279730899999,29.146715904600001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-712,CORRIGANS, ,AUZ,-82.992885310500000,29.146401858000001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-713,CORRIGANS, ,AUZ,-82.992490849099994,29.146087820900000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-714,CORRIGANS, ,AUZ,-82.992096418900005,29.145773768500000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-715,CORRIGANS, ,AUZ,-82.991701986799995,29.145459720400002,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-716,CORRIGANS, ,AUZ,-82.991307554000002,29.145145673900000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-717,CORRIGANS, ,AUZ,-82.990913128599999,29.144831623700000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-718,CORRIGANS, ,AUZ,-82.990518683900007,29.144517568600001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-719,CORRIGANS, ,AUZ,-82.990124281600004,29.144203515499999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-720,CORRIGANS, ,AUZ,-82.989729843500001,29.143889463699999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-721,CORRIGANS, ,AUZ,-82.989335423200004,29.143575408200000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-722,CORRIGANS, ,AUZ,-82.988941003099995,29.143261355300002,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-723,CORRIGANS, ,AUZ,-82.988546575100003,29.142947292100001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-724,CORRIGANS, ,AUZ,-82.988152183300002,29.142633233600002,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-725,CORRIGANS, ,AUZ,-82.987757759900006,29.142319160200000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-726,CORRIGANS, ,AUZ,-82.987363375800001,29.142005096799998,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-727,CORRIGANS, ,AUZ,-82.996000143200007,29.150693285799999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-728,CORRIGANS, ,AUZ,-82.995211219599994,29.150065213100000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-729,CORRIGANS, ,AUZ,-82.994421785000000,29.149437149499999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-730,CORRIGANS, ,AUZ,-82.993633391600000,29.148809054800001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-731,CORRIGANS, ,AUZ,-82.992844485299997,29.148180966500000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-732,CORRIGANS, ,AUZ,-82.992055600499995,29.147552873900000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-733,CORRIGANS, ,AUZ,-82.991266717599999,29.146924779599999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-734,CORRIGANS, ,AUZ,-82.990477846100006,29.146296677500001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-735,CORRIGANS, ,AUZ,-82.989688985800001,29.145668569300000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-736,CORRIGANS, ,AUZ,-82.988900134700003,29.145040449500002,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-737,CORRIGANS, ,AUZ,-82.988111300100002,29.144412329100000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-738,CORRIGANS, ,AUZ,-82.987322460300007,29.143784189000002,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-739,CORRIGANS, ,AUZ,-82.986533639800001,29.143156063500001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-801,DOG ISLAND, ,AUZ,-83.007424673299994,29.146678679000001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-802,DOG ISLAND, ,AUZ,-83.007252401900004,29.146072380200000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-803,DOG ISLAND, ,AUZ,-83.007060970400005,29.145398719799999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-804,DOG ISLAND, ,AUZ,-83.006888681400000,29.144792421500000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-805,DOG ISLAND, ,AUZ,-83.006716395400005,29.144186124099999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-806,DOG ISLAND, ,AUZ,-83.006544115400004,29.143579823800000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-807,DOG ISLAND, ,AUZ,-83.006371802600000,29.142973504200000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-808,DOG ISLAND, ,AUZ,-83.006199557200006,29.142367223800001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-809,DOG ISLAND, ,AUZ,-83.006027270700002,29.141760923000000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-810,DOG ISLAND, ,AUZ,-83.008761300800003,29.146204424899999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-811,DOG ISLAND, ,AUZ,-83.008589001000004,29.145598127600000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-812,DOG ISLAND, ,AUZ,-83.008397560000006,29.144924474500002,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-813,DOG ISLAND, ,AUZ,-83.008225370299996,29.144318177799999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-814,DOG ISLAND, ,AUZ,-83.008052976599998,29.143711875899999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-827,DOG ISLAND, ,AUZ,-83.007880683699995,29.143105581800000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-828,DOG ISLAND, ,AUZ,-83.007708393800002,29.142499282100001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-829,DOG ISLAND, ,AUZ,-83.007536111999997,29.141892983399998,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-830,DOG ISLAND, ,AUZ,-83.007363824899997,29.141286687099999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-815,DOG ISLAND, ,AUZ,-83.010171209899994,29.145704144600000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-816,DOG ISLAND, ,AUZ,-83.009998897800003,29.145097847300001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-817,DOG ISLAND, ,AUZ,-83.009807452900006,29.144424198900001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-818,DOG ISLAND, ,AUZ,-83.009635157299996,29.143817898799998,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-819,DOG ISLAND, ,AUZ,-83.009462852200002,29.143211609300000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
B-200,BODY A, ,AUZ,-80.802473370399994,28.686796845300002,80,Body A,8001,1c6c752,Emerg Cond/  6 days > 10"",6,10.0,1/1-12/31
