lease_id,parcel_num,lease_num,parcel_name,status,waterbody,lease_type,src_merge,cmu_name,rain_in,days,emerg_cond,latitude,longitude,Shape_Length,Shape_Area
CC-06,CC-06,,CAPE ROMANO,Occupied,,Bottom lease,AUZ,66_1,3.50,2,NO,25.842725810000001,-81.639758099999995,,
CC-07,CC-07,,CAPE ROMANO,Occupied,,Bottom lease,AUZ,66_1,3.50,2,NO,25.843272259999999,-81.639182460000001,,
L-701,L-701,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.149856280000002,-82.997224299999999,,
L-702,L-702,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.149542250000000,-82.996829829999996,,
L-703,L-703,,CORRIGANS,Occupied,,Water column lease,AUZ,30_10,6.67,3,NO,29.149228220000001,-82.996435370000000,,
L-704,L-704,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.148914179999998,-82.996040899999997,,
L-705,L-705,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.148600150000000,-82.995646449999995,,
L-706,L-706,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.148286110000001,-82.995251980000006,,
L-707,L-707,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.147972070000002,-82.994857550000006,,
L-708,L-708,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.147658029999999,-82.994463080000003,,
L-709,L-709,,CORRIGANS,Occupied,,Water column lease,AUZ,30_10,6.67,3,NO,29.147343990000000,-82.994068639999995,,
L-710,L-710,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.147029950000000,-82.993674189999993,,
L-711,L-711,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.146715900000000,-82.993279729999998,,
L-712,L-712,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.146401860000001,-82.992885310000005,,
L-713,L-713,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.146087820000002,-82.992490849999996,,
L-714,L-714,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.145773770000002,-82.992096419999996,,
L-715,L-715,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.145459720000002,-82.991701989999996,,
L-716,L-716,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.145145670000002,-82.991307550000002,,
L-717,L-717,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.144831620000001,-82.990913129999996,,
L-718,L-718,,CORRIGANS,Occupied,,Water column lease,AUZ,30_10,6.67,3,NO,29.144517570000001,-82.990518679999994,,
L-719,L-719,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.144203520000001,-82.990124280000003,,
L-720,L-720,,CORRIGANS,Occupied,,Water column lease,AUZ,30_10,6.67,3,NO,29.143889460000000,-82.989729839999995,,
L-721,L-721,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.143575410000000,-82.989335420000003,,
L-722,L-722,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.143261360000000,-82.988940999999997,,
L-723,L-723,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.142947289999999,-82.988546580000005,,
L-724,L-724,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.142633230000001,-82.988152180000000,,
L-725,L-725,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.142319160000000,-82.987757759999994,,
L-726,L-726,,CORRIGANS,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.142005099999999,-82.987363380000005,,
